"Graph 3.6 Net overseas migration by capital city - year ending June 2020(a)"
,"Net overseas migration (Persons)"
"Melbourne","56,083"
"Sydney","50,083"
"Perth","22,214"
"Brisbane","16,169"
"Adelaide","13,665"
"Canberra","2,368"
"Hobart","2,113"
"Darwin","132"

"a. Population estimates for 2019-20 are preliminary."
"Source: Regional population, 2019-20"

"Source: Australian Bureau of Statistics, Migration, Australia 2019-20 financial year"
